plot_id,xcoord,ycoord,Lat,Long,Date,Time,Number_Burrows,Number_Playback,Response_in_Gap,Number_Respond_in_Tape,Area_Surveyed,Callibration_Burrow,Burrow_per_m2,Wind,Rain,Slope,Grass_.,Boulder_.,Suitable_.,veg_height
P_212,-702816.4662,7758647.241,56.99280021156869,-6.31350773518331,22/05/2021,11:30,35,24,9,3,314,Y,0.111464968,Moderate,None,20,60,40,30,low
P_227,-702716.4662,7758547.241,56.99231085611497,-6.312609419899191,22/05/2021,12:13,34,27,7,1,314,Y,0.108280255,Moderate,None,25,20,40,20,low
P_240,-702616.4662,7758647.241,56.99280021156869,-6.311711104615071,22/05/2021,,36,26,8,2,314,Y,0.114649682,Moderate,None,30,50,10,40,low
P_254,-702516.4662,7758647.241,56.99280021156869,-6.310812789330951,22/05/2021,09:20,43,26,15,5,314,Y,0.136942675,Moderate,None,20,50,50,40,low
P_255,-702516.4662,7758547.241,56.99231085611497,-6.310812789330951,22/05/2021,10:15,22,22,10,0,314,Y,0.070063694,Moderate,None,20,40,60,30,low
P_268,-702416.4662,7758547.241,56.99231085611497,-6.309914474046832,28/05/2021,10:30,11,11,5,2,314,N,0.035031847,Moderate,None,15,75,25,10,low
P_281,-702316.4662,7758547.241,56.99231085611497,-6.309016158762713,28/05/2021,10:20,6,6,3,0,314,N,0.01910828,Low,None,20,30,70,10,low
P_305,-702116.4662,7758547.241,56.99231085611497,-6.307219528194474,28/05/2021,10:05,6,6,1,1,314,N,0.01910828,Moderate,None,15,90,10,10,low
P_491,-700716.4662,7758047.241,56.98986398233408,-6.2946431142168,22/05/2021,13:04,29,29,13,2,314,Y,0.092356688,Low,None,55,60,30,70,low
P_529,-700616.4662,7758247.241,56.9908427511491,-6.293744798932681,22/05/2021,09:28,20,20,11,0,314,Y,0.063694268,Low,None,30,50,40,60,low
P_530,-700616.4662,7758147.241,56.99035336995873,-6.293744798932681,28/05/2021,10:45,6,6,2,1,314,N,0.01910828,Low,None,30,35,30,30,low
P_531,-700616.4662,7758047.241,56.98986398233408,-6.293744798932681,22/05/2021,12:00,22,22,9,1,314,Y,0.070063694,Low,None,50,60,20,60,low
P_536,-700616.4662,7757547.241,56.987416947694896,-6.293744798932681,28/05/2021,12:12,10,10,8,0,314,N,0.031847134,Low,None,70,75,0,25,low
P_577,-700516.4662,7757947.241,56.989374588275105,-6.292846483648561,28/05/2021,10:10,15,15,3,0,314,N,0.047770701,Low,None,30,40,40,30,low
P_582,-700516.4662,7757447.241,56.986927521463514,-6.292846483648561,28/05/2021,11:59,3,3,1,0,314,N,0.00955414,Low,None,50,20,0,10,low
P_583,-700516.4662,7757347.241,56.986438088797506,-6.292846483648561,28/05/2021,11:48,3,3,0,0,314,N,0.00955414,Low,None,40,30,0,15,low
P_587,-700516.4662,7756947.241,56.98448029378628,-6.292846483648561,24/05/2022,17:15,29,21,6,0,314,N,0.092356688,Moderate,None,10,30,70,30,low
P_623,-700416.4662,7757847.241,56.98888518778175,-6.291948168364441,22/05/2021,14:24,20,20,11,0,314,Y,0.063694268,Low,None,35,40,30,30,low
P_624,-700416.4662,7757747.241,56.98839578085396,-6.291948168364441,22/05/2021,15:45,16,16,4,3,314,Y,0.050955414,Low,None,65,50,45,70,low
P_630,-700416.4662,7757147.241,56.985459204161444,-6.291948168364441,22/05/2021,09:44,81,24,11,1,314,Y,0.257961783,Moderate,None,50,70,20,70,low
P_673,-700316.4662,7757347.241,56.986438088797506,-6.291049853080322,23/05/2021,13:10,58,30,7,1,314,N,0.184713376,Strong,Moderate,30,80,20,50,low
P_674,-700316.4662,7757247.241,56.98594864969684,-6.291049853080322,22/05/2021,14:30,129,35,17,2,314,Y,0.410828025,Moderate,None,30,70,30,70,low
P_675,-700316.4662,7757147.241,56.985459204161444,-6.291049853080322,25/05/2021,18:15,126,32,11,2,314,N,0.401273885,Moderate,None,50,60,40,50,low
P_688,-700316.4662,7755847.241,56.97909582661918,-6.291049853080322,25/05/2021,13:10,78,35,15,1,314,N,0.248407643,Moderate,None,30,90,10,80,low
P_689,-700316.4662,7755747.241,56.978606290992516,-6.291049853080322,25/05/2021,13:50,105,28,14,1,314,N,0.334394904,Moderate,None,40,95,5,90,low
P_690,-700316.4662,7755647.241,56.9781167489304,-6.291049853080322,25/05/2021,14:40,113,30,6,2,314,N,0.359872611,Moderate,None,40,95,5,90,low
P_691,-700316.4662,7755547.241,56.977627200432785,-6.291049853080322,25/05/2021,15:25,74,35,17,4,314,N,0.23566879,Moderate,None,40,95,5,90,low
P_692,-700316.4662,7755447.241,56.9771376454996,-6.291049853080322,25/05/2021,16:00,85,26,18,2,314,N,0.270700637,Moderate,None,40,95,5,90,low
P_693,-700316.4662,7755347.241,56.97664808413083,-6.291049853080322,26/05/2021,12:20,65,31,5,2,314,N,0.207006369,Low,None,45,60,40,40,low
P_697,-700316.4662,7754947.241,56.974689774298696,-6.291049853080322,26/05/2021,14:00,54,28,10,2,314,N,0.171974522,Low,None,15,40,60,50,low
P_712,-700216.4662,7757847.241,56.98888518778175,-6.290151537796203,28/05/2021,09:52,2,2,0,1,314,N,0.006369427,Low,None,25,40,20,40,low
P_713,-700216.4662,7757747.241,56.98839578085396,-6.290151537796203,22/05/2021,16:30,24,24,17,0,314,Y,0.076433121,Low,None,60,65,25,60,low
P_717,-700216.4662,7757347.241,56.986438088797506,-6.290151537796203,22/05/2021,15:35,49,27,12,1,314,Y,0.156050955,Moderate,None,40,75,5,70,low
P_718,-700216.4662,7757247.241,56.98594864969684,-6.290151537796203,22/05/2021,16:05,183,46,19,5,314,Y,0.582802548,Moderate,None,30,80,20,70,low
P_719,-700216.4662,7757147.241,56.985459204161444,-6.290151537796203,22/05/2021,11:24,104,29,13,2,314,Y,0.331210191,Moderate,None,60,70,20,70,low
P_723,-700216.4662,7756747.241,56.98350135767163,-6.290151537796203,25/05/2021,17:37,38,20,11,1,314,N,0.121019108,Low,None,65,75,10,30,low
P_725,-700216.4662,7756547.241,56.982522395817114,-6.290151537796203,25/05/2021,17:20,28,25,8,1,314,N,0.089171975,Moderate,None,25,30,70,20,low
P_734,-700216.4662,7755647.241,56.9781167489304,-6.290151537796203,25/05/2021,14:50,57,20,7,0,314,N,0.181528662,Moderate,None,80,70,0,30,low
P_735,-700216.4662,7755547.241,56.977627200432785,-6.290151537796203,25/05/2021,16:06,72,20,8,2,314,N,0.229299363,Moderate,None,75,50,40,40,low
P_736,-700216.4662,7755447.241,56.9771376454996,-6.290151537796203,27/05/2021,10:56,73,33,16,4,314,N,0.232484076,Low,None,60,60,10,70,low
P_738,-700216.4662,7755247.241,56.97615851632639,-6.290151537796203,27/05/2021,13:00,43,26,7,2,314,N,0.136942675,Low,None,30,80,20,60,low
P_739,-700216.4662,7755147.241,56.975668942086266,-6.290151537796203,27/05/2021,11:50,65,31,12,1,314,N,0.207006369,Low,None,30,60,40,40,low
P_742,-700216.4662,7754847.241,56.974200180751176,-6.290151537796203,26/05/2021,15:00,113,30,9,0,314,N,0.359872611,Low,None,30,40,60,50,low
P_743,-700216.4662,7754747.241,56.973710580767744,-6.290151537796203,26/05/2021,15:45,107,28,9,4,314,N,0.340764331,Low,None,70,30,70,30,low
P_747,-700216.4662,7754347.241,56.971752116474114,-6.290151537796203,27/05/2021,15:42,66,32,14,3,314,N,0.210191083,Low,None,45,85,15,100,low
P_756,-700116.4662,7757747.241,56.98839578085396,-6.289253222512083,23/05/2021,09:38,21,21,10,3,314,Y,0.066878981,Low,None,30,70,30,60,low
P_757,-700116.4662,7757647.241,56.98790636749169,-6.289253222512083,22/05/2021,17:15,22,22,11,2,314,Y,0.070063694,Moderate,Light,65,55,30,60,low
P_760,-700116.4662,7757347.241,56.986438088797506,-6.289253222512083,28/05/2021,10:46,10,10,4,0,314,N,0.031847134,Low,None,25,15,20,15,low
P_761,-700116.4662,7757247.241,56.98594864969684,-6.289253222512083,22/05/2021,16:08,122,46,21,5,314,Y,0.388535032,Moderate,None,40,90,4,95,low
P_762,-700116.4662,7757147.241,56.985459204161444,-6.289253222512083,24/05/2021,16:15,86,24,9,2,314,N,0.27388535,High,None,70,80,10,60,low
P_764,-700116.4662,7756947.241,56.98448029378628,-6.289253222512083,22/05/2021,13:45,56,21,11,1,314,Y,0.178343949,Moderate,None,70,75,10,60,low
P_765,-700116.4662,7756847.241,56.98399082894641,-6.289253222512083,26/05/2021,14:45,70,20,11,0,314,N,0.222929936,Moderate,None,30,75,5,50,low
P_766,-700116.4662,7756747.241,56.98350135767163,-6.289253222512083,26/05/2021,14:05,74,20,7,1,314,N,0.23566879,Moderate,None,60,60,25,45,med
P_767,-700116.4662,7756647.241,56.98301187996188,-6.289253222512083,26/05/2021,12:45,90,23,11,1,314,N,0.286624204,Moderate,None,60,60,30,50,med
P_775,-700116.4662,7755847.241,56.97909582661918,-6.289253222512083,25/05/2021,14:00,109,27,12,1,314,N,0.347133758,Moderate,None,80,80,10,70,low
P_776,-700116.4662,7755747.241,56.978606290992516,-6.289253222512083,26/05/2021,12:39,72,33,11,6,314,N,0.229299363,Low,None,35,75,15,80,low
P_777,-700116.4662,7755647.241,56.9781167489304,-6.289253222512083,26/05/2021,13:51,64,33,14,4,314,N,0.203821656,Low,None,50,95,2,90,low
P_778,-700116.4662,7755547.241,56.977627200432785,-6.289253222512083,26/05/2021,14:14,140,35,16,2,314,N,0.445859873,Low,None,60,90,5,90,low
P_779,-700116.4662,7755447.241,56.9771376454996,-6.289253222512083,26/05/2021,15:39,118,31,18,5,314,N,0.375796178,Low,None,45,60,15,60,low
P_783,-700116.4662,7755047.241,56.975179361410376,-6.289253222512083,27/05/2021,11:00,113,30,9,3,314,N,0.359872611,Low,None,20,80,20,80,low
P_784,-700116.4662,7754947.241,56.974689774298696,-6.289253222512083,26/05/2021,16:35,187,48,25,2,314,N,0.595541401,Low,None,20,70,30,80,low
P_787,-700116.4662,7754647.241,56.97322097434838,-6.289253222512083,27/05/2021,14:51,78,33,15,2,314,N,0.248407643,Low,None,70,60,40,55,low
P_800,-700016.4662,7757647.241,56.98790636749169,-6.288354907227964,23/05/2021,10:15,26,26,7,0,314,N,0.082802548,Moderate,Light,55,50,30,60,low
P_801,-700016.4662,7757547.241,56.987416947694896,-6.288354907227964,23/05/2021,11:10,21,21,14,2,314,Y,0.066878981,Strong,None,55,40,25,45,low
P_803,-700016.4662,7757347.241,56.986438088797506,-6.288354907227964,28/05/2021,11:10,15,15,7,1,314,N,0.047770701,Low,None,25,50,4,30,low
P_804,-700016.4662,7757247.241,56.98594864969684,-6.288354907227964,22/05/2021,17:25,117,31,8,3,314,Y,0.372611465,Moderate,None,30,60,40,70,low
P_805,-700016.4662,7757147.241,56.985459204161444,-6.288354907227964,23/05/2021,13:43,78,26,10,2,314,N,0.248407643,Moderate,Heavy,50,50,30,40,low
P_807,-700016.4662,7756947.241,56.98448029378628,-6.288354907227964,22/05/2021,14:48,64,21,11,0,314,Y,0.203821656,Moderate,None,70,75,10,60,low
P_808,-700016.4662,7756847.241,56.98399082894641,-6.288354907227964,26/05/2021,15:30,111,28,13,0,314,N,0.353503185,Moderate,None,20,90,10,75,low
P_809,-700016.4662,7756747.241,56.98350135767163,-6.288354907227964,26/05/2021,12:06,113,28,13,3,314,N,0.359872611,Moderate,None,80,90,10,80,med
P_820,-700016.4662,7755647.241,56.9781167489304,-6.288354907227964,25/05/2021,13:44,129,32,17,2,314,N,0.410828025,Moderate,None,60,90,5,80,low
P_824,-700016.4662,7755247.241,56.97615851632639,-6.288354907227964,26/05/2021,16:30,65,31,15,3,314,N,0.207006369,Low,None,40,60,30,50,low
P_828,-700016.4662,7754847.241,56.974200180751176,-6.288354907227964,27/05/2021,13:33,102,35,22,1,314,N,0.324840764,Low,None,40,40,30,45,low
P_829,-700016.4662,7754747.241,56.973710580767744,-6.288354907227964,27/05/2021,15:00,65,31,14,1,314,N,0.207006369,Low,None,20,40,60,70,low
P_830,-700016.4662,7754647.241,56.97322097434838,-6.288354907227964,27/05/2021,16:25,124,35,13,4,314,N,0.394904459,Low,None,25,30,70,40,low
P_831,-700016.4662,7754547.241,56.97273136149302,-6.288354907227964,27/05/2021,17:10,68,32,17,0,314,N,0.21656051,Low,None,20,60,40,70,low
P_832,-700016.4662,7754447.241,56.972241742201604,-6.288354907227964,27/05/2021,16:51,76,31,17,2,314,N,0.242038217,Low,None,40,75,15,90,low
P_843,-699916.4662,7757647.241,56.98790636749169,-6.287456591943845,23/05/2021,12:16,31,31,15,0,314,N,0.098726115,Strong,None,40,80,10,50,low
P_846,-699916.4662,7757347.241,56.986438088797506,-6.287456591943845,23/05/2021,09:27,52,28,14,0,314,Y,0.165605096,Moderate,Light,25,85,5,85,low
P_847,-699916.4662,7757247.241,56.98594864969684,-6.287456591943845,23/05/2021,09:40,77,30,10,3,314,Y,0.24522293,Strong,None,25,70,30,60,low
P_848,-699916.4662,7757147.241,56.985459204161444,-6.287456591943845,23/05/2021,09:37,92,31,17,1,314,Y,0.292993631,Moderate,None,60,60,20,60,low
P_849,-699916.4662,7757047.241,56.984969752191276,-6.287456591943845,22/05/2021,17:30,123,38,14,1,314,Y,0.391719745,Moderate,None,70,90,10,90,low
P_850,-699916.4662,7756947.241,56.98448029378628,-6.287456591943845,22/05/2021,16:08,141,57,16,4,314,Y,0.449044586,Moderate,None,60,85,10,75,low
P_863,-699916.4662,7755647.241,56.9781167489304,-6.287456591943845,25/05/2021,12:50,78,21,12,1,314,N,0.248407643,Moderate,None,45,80,10,70,low
P_869,-699916.4662,7755047.241,56.975179361410376,-6.287456591943845,27/05/2021,12:11,89,35,14,4,314,N,0.28343949,Low,None,50,90,10,100,low
P_871,-699916.4662,7754847.241,56.974200180751176,-6.287456591943845,27/05/2021,14:00,93,24,9,1,314,N,0.296178344,Low,None,15,60,40,60,low
P_885,-699816.4662,7757647.241,56.98790636749169,-6.286558276659725,23/05/2021,13:10,11,11,7,2,314,N,0.035031847,Strong,Light,45,40,25,50,low
P_886,-699816.4662,7757547.241,56.987416947694896,-6.286558276659725,23/05/2021,13:42,39,39,21,0,314,N,0.124203822,Strong,Moderate,45,60,25,65,low
P_887,-699816.4662,7757447.241,56.986927521463514,-6.286558276659725,26/05/2021,17:49,112,37,20,4,314,N,0.356687898,Low,None,35,65,30,70,low
P_889,-699816.4662,7757247.241,56.98594864969684,-6.286558276659725,23/05/2021,11:20,66,34,19,1,314,Y,0.210191083,Moderate,Light,55,70,15,75,low
P_890,-699816.4662,7757147.241,56.985459204161444,-6.286558276659725,23/05/2021,12:30,151,42,15,1,314,N,0.48089172,Strong,None,45,70,20,80,low
P_891,-699816.4662,7757047.241,56.984969752191276,-6.286558276659725,23/05/2021,11:05,103,28,13,2,314,Y,0.328025478,High,Light,50,95,5,95,low
P_892,-699816.4662,7756947.241,56.98448029378628,-6.286558276659725,23/05/2021,12:00,161,38,18,0,314,N,0.512738854,High,Light,60,75,5,60,low
P_927,-699716.4662,7757547.241,56.987416947694896,-6.285659961375605,26/05/2021,17:01,27,21,6,1,314,N,0.085987261,Low,None,40,60,25,50,low
P_928,-699716.4662,7757447.241,56.986927521463514,-6.285659961375605,24/05/2021,17:35,66,29,6,2,314,N,0.210191083,Strong,None,40,60,30,60,low
P_930,-699716.4662,7757247.241,56.98594864969684,-6.285659961375605,28/05/2021,11:40,9,9,3,0,314,N,0.02866242,Moderate,None,15,25,20,25,low
P_931,-699716.4662,7757147.241,56.985459204161444,-6.285659961375605,23/05/2021,11:10,83,27,17,2,314,Y,0.26433121,Strong,None,20,70,30,50,low
P_932,-699716.4662,7757047.241,56.984969752191276,-6.285659961375605,23/05/2021,12:20,68,33,22,3,314,N,0.21656051,Strong,None,30,90,10,90,low
P_933,-699716.4662,7756947.241,56.98448029378628,-6.285659961375605,24/05/2021,17:41,53,26,10,4,314,N,0.168789809,High,None,70,95,3,95,low
P_936,-699716.4662,7756647.241,56.98301187996188,-6.285659961375605,26/05/2021,17:04,52,20,8,0,314,N,0.165605096,Low,None,75,80,20,30,low
P_968,-699616.4662,7757447.241,56.986927521463514,-6.284761646091486,26/05/2021,11:24,72,31,20,1,314,N,0.229299363,Low,None,30,75,20,80,low
P_969,-699616.4662,7757347.241,56.986438088797506,-6.284761646091486,26/05/2021,12:15,62,30,14,0,314,N,0.197452229,Low,None,55,40,30,50,low
P_1007,-699516.4662,7757347.241,56.986438088797506,-6.283863330807367,26/05/2021,13:45,86,33,17,0,314,N,0.27388535,Low,None,35,60,30,70,low
P_1008,-699516.4662,7757247.241,56.98594864969684,-6.283863330807367,25/05/2021,17:52,53,28,17,1,314,N,0.168789809,Low,None,45,60,30,60,low
P_1009,-699516.4662,7757147.241,56.985459204161444,-6.283863330807367,26/05/2021,15:06,51,27,16,1,314,N,0.162420382,Low,None,65,40,30,50,low
P_1010,-699516.4662,7757047.241,56.984969752191276,-6.283863330807367,26/05/2021,16:05,49,27,18,1,314,N,0.156050955,Low,None,40,60,20,70,low
P_1085,-699316.4662,7755747.241,56.978606290992516,-6.2820667002391275,25/05/2021,13:11,56,27,14,4,314,N,0.178343949,Low,None,60,70,10,70,low
P_1127,-699116.4662,7755647.241,56.9781167489304,-6.2802700696708875,25/05/2021,14:38,69,39,16,3,314,N,0.219745223,Low,None,75,60,10,70,low
P_1153,-698916.4662,7755347.241,56.97664808413083,-6.278473439102649,25/05/2021,13:53,27,24,1,2,314,N,0.085987261,Low,None,60,40,40,70,low
P_1160,-698816.4662,7755447.241,56.9771376454996,-6.277575123818529,25/05/2021,14:50,42,25,12,2,314,N,0.133757962,Moderate,None,50,70,30,70,low
P_1162,-698816.4662,7755247.241,56.97615851632639,-6.277575123818529,27/05/2021,14:22,77,30,21,1,314,N,0.24522293,Low,None,30,60,20,70,low
P_1166,-698716.4662,7755547.241,56.977627200432785,-6.27667680853441,25/05/2021,15:36,80,32,9,1,314,N,0.25477707,Moderate,None,50,40,40,50,low
P_1170,-698716.4662,7755147.241,56.975668942086266,-6.27667680853441,27/05/2021,13:02,99,40,16,1,314,N,0.315286624,Low,None,65,65,30,70,low
P_1175,-698616.4662,7755347.241,56.97664808413083,-6.275778493250291,25/05/2021,15:53,75,33,16,5,314,N,0.238853503,Moderate,None,50,85,15,85,low
P_1176,-698616.4662,7755247.241,56.97615851632639,-6.275778493250291,27/05/2021,15:41,75,32,8,0,314,N,0.238853503,Low,None,40,65,35,70,low
P_1177,-698616.9658521164,7755147.938105513,56.97567235495755,-6.275782981701619,27/05/2021,12:01,78,33,12,1,314,N,0.248407643,Low,None,25,60,35,70,low
P_1181,-698516.4662,7755347.241,56.97664808413083,-6.274880177966171,27/05/2021,16:56,60,29,13,1,314,N,0.191082803,Low,None,50,50,30,55,low
P_1182,-698516.4662,7755247.241,56.97615851632639,-6.274880177966171,25/05/2021,16:45,95,35,12,2,314,N,0.302547771,Strong,None,50,74,10,85,low
P_1183,-698517.8928196357,7755153.786040567,56.97570098511571,-6.274892993508405,27/05/2021,11:00,68,32,16,0,314,N,0.21656051,Low,None,35,70,30,75,low
P_1375,-703716.4662,7754947.241,56.974689774298696,-6.321592572740386,27/05/2021,14:40,89,23,5,1,314,N,0.28343949,Low,None,60,50,20,40,low
P_1386,-703616.4662,7754947.241,56.974689774298696,-6.320694257456267,27/05/2021,13:00,143,35,15,1,314,N,0.455414013,Low,None,70,95,5,60,low
P_1396,-703516.4662,7754947.241,56.974689774298696,-6.3197959421721475,20/05/2021,11:40,82,82,4,30,157,N,0.522292994,Strong,Light,70,80,0,80,low
P_1397,-703516.4662,7754847.241,56.974200180751176,-6.3197959421721475,27/05/2021,13:50,188,48,22,3,314,N,0.598726115,Low,None,60,85,5,85,low
P_1398,-703516.4662,7754747.241,56.973710580767744,-6.3197959421721475,27/05/2021,15:30,89,23,13,1,314,N,0.28343949,Low,None,60,80,10,75,low
P_1409,-703416.4662,7754747.241,56.973710580767744,-6.3188976268880275,27/05/2021,16:10,69,20,10,1,314,N,0.219745223,Low,None,75,60,5,50,low
P_1429,-703216.4662,7754847.241,56.974200180751176,-6.317100996319788,20/05/2021,11:20,110,110,41,0,314,N,0.350318471,Strong,Light,40,80,5,75,low
P_1440,-703116.4662,7754747.241,56.973710580767744,-6.316202681035668,20/05/2021,11:32,48,48,19,2,157,N,0.305732484,Strong,Light,70,80,0,80,low
P_1450,-703016.4662,7754747.241,56.973710580767744,-6.315304365751549,27/05/2021,11:36,109,28,8,1,314,N,0.347133758,Low,None,50,90,10,90,low
P_1466,-702916.4662,7754547.241,56.97273136149302,-6.31440605046743,27/05/2021,10:50,61,20,12,0,314,N,0.194267516,Moderate,None,70,80,5,70,med
